GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spotify Web API Java Client,se.michaelthelin.spotify.requests.authorization,AbstractAuthorizationRequest.Builder,16,43,4,4,0,8,4,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.authorization,AbstractAuthorizationRequest,0,4,0,0,0,2,0,1,0,1
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetSeveralAlbumsRequest.Builder,21,33,4,2,2,9,4,5,1,5
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetAlbumsTracksRequest.Builder,20,65,6,6,0,15,6,8,0,8
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetAlbumsTracksRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetSeveralAlbumsRequest,0,13,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetAlbumRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.albums,GetAlbumRequest.Builder,12,40,3,3,0,11,3,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsTopTracksRequest.Builder,12,40,3,3,0,11,3,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsRelatedArtistsRequest,0,13,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistRequest.Builder,8,31,2,2,0,9,2,5,0,5
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsAlbumsRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetSeveralArtistsRequest.Builder,8,33,2,2,0,9,2,5,0,5
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetSeveralArtistsRequest,0,13,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsRelatedArtistsRequest.Builder,8,31,2,2,0,9,2,5,0,5
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsTopTracksRequest,0,13,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.artists,GetArtistsAlbumsRequest.Builder,28,79,8,8,0,18,8,9,0,9
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.episodes,GetSeveralEpisodesRequest.Builder,12,42,3,3,0,11,3,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.episodes,GetSeveralEpisodesRequest,0,13,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.episodes,GetEpisodeRequest.Builder,12,40,3,3,0,11,3,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.episodes,GetEpisodeRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.personalization.simplified,GetUsersTopArtistsRequest.Builder,24,63,9,7,0,14,8,7,0,7
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.personalization.simplified,GetUsersTopTracksRequest.Builder,24,63,9,7,0,14,8,7,0,7
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.personalization.simplified,GetUsersTopArtistsRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.personalization.simplified,GetUsersTopTracksRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ReorderPlaylistsItemsRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,UploadCustomPlaylistCoverImageRequest,0,7,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ChangePlaylistsDetailsRequest.Builder,24,75,6,6,0,18,6,9,0,9
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,RemoveItemsFromPlaylistRequest.Builder,28,67,7,7,0,17,7,7,0,7
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetListOfUsersPlaylistsRequest.Builder,16,61,6,6,0,13,6,7,0,7
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,UploadCustomPlaylistCoverImageRequest.Builder,20,58,5,5,0,14,5,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,AddItemsToPlaylistRequest.Builder,36,99,9,11,0,23,9,10,0,9
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,RemoveItemsFromPlaylistRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistCoverImageRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistCoverImageRequest.Builder,8,31,2,2,0,9,2,5,0,5
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistsItemsRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetListOfCurrentUsersPlaylistsRequest.Builder,8,47,4,4,0,10,4,6,0,6
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetListOfUsersPlaylistsRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ChangePlaylistsDetailsRequest,0,7,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistsItemsRequest.Builder,36,93,10,10,0,21,10,10,0,10
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,AddItemsToPlaylistRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetListOfCurrentUsersPlaylistsRequest,0,11,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,CreatePlaylistRequest,0,12,0,0,0,3,0,2,0,2
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,CreatePlaylistRequest.Builder,24,75,6,6,0,18,6,9,0,9
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,GetPlaylistRequest.Builder,28,68,7,7,0,17,7,8,0,8
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ReorderPlaylistsItemsRequest.Builder,40,89,10,10,0,22,10,9,0,9
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ReplacePlaylistsItemsRequest.Builder,32,74,8,8,0,18,8,7,0,7
Spotify Web API Java Client,se.michaelthelin.spotify.requests.data.playlists,ReplacePlaylistsItemsRequest,0,7,0,0,0,3,0,2,0,2
